FILE: INVENTARIO_A_MAYO.xlsx
SHEETS: ['Analisis Inventario', 'VENTA', 'COMPRA']
--- sheet Analisis Inventario ---
fecha_despacho|(Todas)|||numero_embarque|(Todas)
|||||
Suma de cantidad||||Suma de cantidad|
numero_embarque|Fact Exportacion|Total||Numero_ Fact_ Compra|Total
444|1973|1600||352|7040
445|1975|1600||Total general|7040
446|1974|1200|||
448|1976|1440|||
--- sheet VENTA ---
Temporada|id|numero_embarque|fecha_despacho|Semana Despacho|Mes Despacho|fecha_arribo|tipo_despacho|exportadora|broker|broker_id|destinatario
2025-2026|20376|444|2026-05-18 00:00:00|21|5|2026-05-28 00:00:00|SAG|ALMAHUE EXPORT SPA|TERRA EXPORTS|56|IMPORTADORA DE FRUTAS SARANGO S.A. SARCO
2025-2026|20377|444|2026-05-18 00:00:00|21|5|2026-05-28 00:00:00|SAG|ALMAHUE EXPORT SPA|TERRA EXPORTS|56|IMPORTADORA DE FRUTAS SARANGO S.A. SARCO
2025-2026|20378|444|2026-05-18 00:00:00|21|5|2026-05-28 00:00:00|SAG|ALMAHUE EXPORT SPA|TERRA EXPORTS|56|IMPORTADORA DE FRUTAS SARANGO S.A. SARCO
2025-2026|20379|444|2026-05-18 00:00:00|21|5|2026-05-28 00:00:00|SAG|ALMAHUE EXPORT SPA|TERRA EXPORTS|56|IMPORTADORA DE FRUTAS SARANGO S.A. SARCO
2025-2026|20380|444|2026-05-18 00:00:00|21|5|2026-05-28 00:00:00|SAG|ALMAHUE EXPORT SPA|TERRA EXPORTS|56|IMPORTADORA DE FRUTAS SARANGO S.A. SARCO
2025-2026|20381|444|2026-05-18 00:00:00|21|5|2026-05-28 00:00:00|SAG|ALMAHUE EXPORT SPA|TERRA EXPORTS|56|IMPORTADORA DE FRUTAS SARANGO S.A. SARCO
2025-2026|20382|444|2026-05-18 00:00:00|21|5|2026-05-28 00:00:00|SAG|ALMAHUE EXPORT SPA|TERRA EXPORTS|56|IMPORTADORA DE FRUTAS SARANGO S.A. SARCO
--- sheet COMPRA ---
Temporada|id|numero_embarque|fecha_despacho|exportadora|Mes Despacho|Proveedor|folio|FOLIO 2|fecha_guia|codigo_productor|productor
2025-2026|20376|444|2026-05-18 00:00:00|ALMAHUE EXPORT SPA|5|ALM SERVICES SPA|Z120030971|Z120030971|2026-05-18 15:37:00|119278|AGRICOLA LOS MOSTOS SPA
2025-2026|20377|444|2026-05-18 00:00:00|ALMAHUE EXPORT SPA|5|ALM SERVICES SPA|Z120030974|Z120030974|2026-05-18 15:37:00|119278|AGRICOLA LOS MOSTOS SPA
2025-2026|20378|444|2026-05-18 00:00:00|ALMAHUE EXPORT SPA|5|ALM SERVICES SPA|Z120030975|Z120030975|2026-05-18 15:37:00|119278|AGRICOLA LOS MOSTOS SPA
2025-2026|20379|444|2026-05-18 00:00:00|ALMAHUE EXPORT SPA|5|ALM SERVICES SPA|Z120030976|Z120030976|2026-05-18 15:37:00|119278|AGRICOLA LOS MOSTOS SPA
2025-2026|20380|444|2026-05-18 00:00:00|ALMAHUE EXPORT SPA|5|ALM SERVICES SPA|Z120030980|Z120030980|2026-05-18 15:37:00|119278|AGRICOLA LOS MOSTOS SPA
2025-2026|20381|444|2026-05-18 00:00:00|ALMAHUE EXPORT SPA|5|ALM SERVICES SPA|Z120030981|Z120030981|2026-05-18 15:37:00|119278|AGRICOLA LOS MOSTOS SPA
2025-2026|20382|444|2026-05-18 00:00:00|ALMAHUE EXPORT SPA|5|ALM SERVICES SPA|Z120030983|Z120030983|2026-05-18 15:37:00|119278|AGRICOLA LOS MOSTOS SPA
